Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,0.972045,0.976438,0.929835,0.954480,0.954480,346245
2016-01-05,0.953147,0.970597,0.946543,0.950176,0.950176,219833
2016-01-06,0.950028,0.960659,0.935708,0.950860,0.950860,308791
2016-01-07,0.955801,0.974623,0.935830,0.942005,0.942005,647462
2016-01-08,0.942752,0.991825,0.939715,0.986789,0.986789,545600
2016-01-09,0.985501,0.992345,0.973600,0.986833,0.986833,226281
2016-01-10,0.985557,1.001030,0.975099,0.999231,0.999231,390888
2016-01-11,0.999216,1.069910,0.999216,1.061600,1.061600,1011920
2016-01-12,1.066100,1.282830,1.050090,1.141000,1.141000,2898760
2016-01-13,1.135470,1.152180,1.077030,1.125200,1.125200,1005910
2016-01-14,1.122100,1.189590,1.103190,1.189590,1.189590,751961
2016-01-15,1.184440,1.319380,1.142930,1.208010,1.208010,3910550
2016-01-16,1.220460,1.308160,1.168010,1.220290,1.220290,2462630
2016-01-17,1.221470,1.328830,1.207770,1.327470,1.327470,1171150
2016-01-18,1.332310,1.542900,1.322220,1.426340,1.426340,4278930
2016-01-19,1.422610,1.464690,1.305010,1.371390,1.371390,2446740
2016-01-20,1.363180,1.619240,1.353710,1.531820,1.531820,2933220
2016-01-21,1.532700,1.585490,1.486690,1.553570,1.553570,1614960
2016-01-22,1.547030,1.581460,1.465880,1.501270,1.501270,1567240
2016-01-23,1.504120,2.030120,1.496050,1.972670,1.972670,7370980
2016-01-24,1.900540,2.298420,1.900540,2.141200,2.141200,9669770
2016-01-25,2.147640,2.662580,2.056140,2.499270,2.499270,10739300
2016-01-26,2.532740,2.836990,1.994770,2.276370,2.276370,13939200
2016-01-27,2.247440,2.594940,2.188650,2.388550,2.388550,6961080
2016-01-28,2.406450,2.684670,2.342030,2.526490,2.526490,4903850
2016-01-29,2.542980,2.606770,2.303900,2.494960,2.494960,6662340
2016-01-30,2.507720,2.611810,2.398920,2.445060,2.445060,3725080
2016-01-31,2.443150,2.530970,2.186350,2.306040,2.306040,5847500
2016-02-01,2.319690,2.319690,2.116310,2.211690,2.211690,3994100
2016-02-02,2.215190,2.448980,2.157200,2.439640,2.439640,3451270
2016-02-03,2.431930,2.540170,2.341620,2.528690,2.528690,3987750
2016-02-04,2.529030,2.629540,2.436460,2.578040,2.578040,3552320
2016-02-05,2.570350,2.606180,2.470920,2.538990,2.538990,2636700
2016-02-06,2.533820,2.561150,2.472010,2.534460,2.534460,1921240
2016-02-07,2.536410,3.058190,2.536380,2.964340,2.964340,7007060
2016-02-08,2.973000,3.274280,2.875370,3.179790,3.179790,9725690
2016-02-09,3.174990,4.044640,3.168750,4.044640,4.044640,17954000
2016-02-10,4.000550,4.861440,3.783100,4.436260,4.436260,28640400
2016-02-11,4.496820,6.292230,4.338300,6.013100,6.013100,26408200
2016-02-12,5.946150,6.582750,5.070760,5.546980,5.546980,23360800
2016-02-13,5.685050,5.719540,4.190000,5.385320,5.385320,24218800
2016-02-14,5.404330,5.465060,4.445710,5.239730,5.239730,11226500
2016-02-15,5.330530,5.886990,5.018560,5.288350,5.288350,13934200
2016-02-16,5.328320,5.474860,4.033840,4.315290,4.315290,15889100
2016-02-17,4.289170,4.767070,3.497370,3.757240,3.757240,15451000
2016-02-18,3.774700,4.770570,3.420880,4.399130,4.399130,17054000
2016-02-19,4.384790,4.793220,4.274690,4.737890,4.737890,7666320
2016-02-20,4.682200,4.754060,4.127070,4.341330,4.341330,8631090
2016-02-21,4.360550,4.711510,4.227610,4.653620,4.653620,6413550
2016-02-22,4.664950,5.645710,4.635250,5.616500,5.616500,15056200
2016-02-23,5.684930,5.947640,5.387820,5.586210,5.586210,13380600
2016-02-24,5.604050,6.236470,5.509250,6.236470,6.236470,11426500
2016-02-25,6.186710,6.647410,5.551240,6.104800,6.104800,21471800
2016-02-26,6.037830,6.268750,5.739050,5.921670,5.921670,9526860
2016-02-27,5.963080,6.526920,5.920520,6.425860,6.425860,8903210
2016-02-28,6.405510,6.619340,6.238370,6.468350,6.468350,9851660
2016-02-29,6.455650,6.614510,6.054290,6.336990,6.336990,7648020
2016-03-01,6.319310,7.908640,6.308850,7.653690,7.653690,23098100
2016-03-02,7.633030,8.753460,7.371300,8.465390,8.465390,29130200
2016-03-03,8.442290,10.097400,8.332030,9.294150,9.294150,40314900
2016-03-04,9.240560,10.406000,8.479420,10.406000,10.406000,35520100
2016-03-05,10.370300,12.274000,9.972900,11.003700,11.003700,56439600
2016-03-06,11.204000,11.836000,9.993610,11.382900,11.382900,39112000
2016-03-07,11.428800,11.651900,9.309490,9.552630,9.552630,34085100
2016-03-08,9.582140,10.166400,8.815770,9.847210,9.847210,25524300
2016-03-09,9.792420,12.054700,9.670990,11.898000,11.898000,27540500
2016-03-10,11.881500,12.239300,10.991100,11.305000,11.305000,26851500
2016-03-11,11.221600,11.599900,10.393700,11.082800,11.082800,21002700
2016-03-12,11.130700,13.533300,11.087700,13.533300,13.533300,48957300
2016-03-13,13.510200,15.257100,13.467400,14.475000,14.475000,43915100
2016-03-14,14.512200,15.013000,11.582100,12.452600,12.452600,58385100
2016-03-15,13.001700,13.197800,12.046800,13.010000,13.010000,28404500
2016-03-16,13.021600,13.730700,12.495400,12.520900,12.520900,24335500
2016-03-17,12.558700,12.643500,10.442600,11.081500,11.081500,41650600
2016-03-18,11.109100,11.178800,8.524520,10.998100,10.998100,53956800
2016-03-19,11.203700,11.203700,9.776630,10.530700,10.530700,26735700
2016-03-20,10.516300,10.903800,9.570400,10.319800,10.319800,17651100
2016-03-21,10.303700,12.014900,10.161600,11.864100,11.864100,28572600
2016-03-22,11.879200,12.025200,11.177000,11.274800,11.274800,19730300
2016-03-23,11.327900,12.432600,11.237100,12.416700,12.416700,19353200
2016-03-24,12.442200,12.501600,10.803500,11.235000,11.235000,26081800
2016-03-25,11.260300,11.372900,10.527200,10.743200,10.743200,13782000
2016-03-26,10.767900,11.180800,10.589200,10.974000,10.974000,9425480
2016-03-27,10.986100,11.054200,10.112100,10.419200,10.419200,16744800
2016-03-28,10.431400,11.861300,10.407500,11.665600,11.665600,23188300
2016-03-29,11.752700,11.913600,11.349800,11.656400,11.656400,17684200
2016-03-30,11.605300,12.178500,11.469200,11.952900,11.952900,19351200
2016-03-31,11.919800,12.011900,11.315700,11.403500,11.403500,14966700
2016-04-01,11.400600,11.850400,11.400600,11.663600,11.663600,11373100
2016-04-02,11.630600,11.688800,11.398800,11.598900,11.598900,8682620
2016-04-03,11.628300,11.706400,11.508700,11.618300,11.618300,5580550
2016-04-04,11.615800,11.615800,11.016300,11.157300,11.157300,9599070
2016-04-05,11.212500,11.212500,10.134700,10.438100,10.438100,20557300
